#,Name,Type,Division,Displacement Standard (tons),Displacement Full load (tons),Length (m),Beam (m),Draft (m),Speed (knots),Range,Autonomy (days),Propulsion,Armament,Electronics,Complement,Cargo,Passengers,Endurance (days),Special equipment,Capacity (tons),Capacity (c.m.),Destruction Date
,SB-4,Rescue Tug,314th Rescue Ship Squad Novorossiysk,759,934.0,47.3,10.3,4.2,13.2,,25.0,1x1900 hp PG-150/60 electric motor. 1 fixed pitch propeller in rotating nozzle. 2x1000 kW 5D-50 diesel generators. 2x20 kW diesel generators,,,51.0,,,,2x120 m3/h fire monitors. 1000 m3/h water pumps,,,2024-02-16
,Istra,Small Seagoing Tanker,205th Auxiliary Ship Squad,,1200.0,61,9.0,2.75,12.0,,,2 diesels. 900 hp. 2 shafts,,,20.0,,,,,950,,2024-02-22
,Cheleken,Hydrographic Ship,176th Expeditionary Oceanographic Ship Division,1200,1542.6,73.32,10.8,3.85,17.3,,35.0,2x1800 hp Zgoda-Sulzer 6TD-48 diesels. 2 controllable pitch propellers. 3x259 kW 5BAH22 diesel-generators. 1x52 kW S324M diesel-generator,,2 Don navigation radars. ARP-50R radio direction finder. MG-13 underwater communication station. MG-26 Khosta underwater communication station,,,,,,,,2024-02-24
,PK-103030,Floating Crane,91th Ship Repair Plant,,650.0,24.4,19.6,1.46,,,,Non-self-propelled,,,,,,,,30,,2024-03-03
,PSK-139,Passenger Boat,13th Ship Repair Plant,75.7,99.7,33.3,5.3,1.5,14.5,,,2x300 hp 3D12A diesels. 2 fixed pitch propellers,,,4.0,,107,,,,,2024-03-04
,SB-36,Salvage Tug,145th Resue Ship Squad,1435,2210.0,63.5,14.05,5.5,14.0,,30.0,1x3500 hp 67I diesel. 1 controllable pitch propeller. 1 bow thruster. 3x264 kW diesel-generators. 1x132 kW diesel-generator,,2 Don navigation radars,43.0,,,,1 diving complex (1 pressure chamber) – 40 m. 2 fire monitors,,,2024-03-07
,Ivan Khurs,Intelligence Ship,519th Independent Intelligence Ship Division,2500,4000.0,96,16.0,4,20.0,,,2x2720 hp 5DRA diesels. 2 fixed pitch propellers. ADG-630 x630 kW diesel-generators,6 9K38 Igla SAM system launchers (32 9M39 missiles) 4x1 14.5 mm MTPU-1 Zhalo,MR-231-3 navigation radar,131.0,,,,,,,2024-03-24
156.0,Yamal,Large Landing Ship,197th Landing Ship Brigade,2768,4012.0,112.55,15.0,4.05,17.59,,30.0,2x9600 hp Zgoda-Sulzer 16ZVB40/48 diesels. 2 fixed pitch propellers. 2 stern retractable azimuth thrusters. 3x750 kW diesel generators,2x2 57 mm AK-725 (2200 rounds) – MR-103 Bars fire control system 2x40 122 mm MS-73 Grad-M launchers (№19. from №21) (320 rounds) – Groza-1171 fire control system,MR-302 Rubka air/surface search radar. Don navigation radar,,10 main battle tanks and 340 troops or 12 PT-76 light tanks and 150 troops or 3 main battle tanks. 3 2S9 Nona-S. 5 MT-LB. 4 army trucks and 313 troops or 20 army trucks and 150 troops or 500 tons of cargo,,,,,,2024-03-24
151.0,Azov,Large Landing Ship,197th Landing Ship Brigade,2768,4012.0,112.63,15.01,4.26,17.59,,30.0,2x9600 hp Zgoda-Sulzer 16ZVB40/48 diesels. 2 fixed pitch propellers. 2 stern retractable azimuth thrusters. 3x750 kW diesel generators,1x1 76 mm AK-176M (550 rounds) – MR-123 Vympel-A fire control system 2x6 30 mm AK-630M 2x40 122 mm MS-73 Grad-M launchers (320 rounds) – Groza-1171 fire control system2x4 MTU-4 Strela or 9M38 Igla SAM system (9M39) launchers,MR-352 Pozitiv-E air/surface search radar. Don (BDK-43) navigation radar PK-16 decoy RL (2 KL-101 launchers),,10 main battle tanks and 340 troops or 12 BTR and 340 troops or 3 main battle tanks. 3 2S9 Nona-S. 5 MT-LB. 4 army trucks and 313 troops or 500 tons of cargo,,,,,,2024-03-24
,RK-1078,Harbor Boat,30th Surface Ship Division,,,,,,,,,,,,,,,,,,,2024-03-25
,PK-128035,Floating Crane,205th Auxiliary Ship Squad,963,1174.0,36.52,18.72,1.95,3.7,,,2x197 hp electric motors. 2 fixed pitch propellers. 1x530 kW diesel-generator. 1x100 kW DGR-100/750 diesel-generator,,,7.0,,,,,35,,2024-03-27
53.0,Povorino,ASW Corvette,184th Novorossiysk Coastal Defense Brigade,910,1055.0,71.07,10.15,3.71,31.67,,10.0,1x18000 hp M-8 gas turbine. 2x10000 hp M-507A-1P diesels or 2x10000 hp M-507A-2 diesels. 3 fixed pitch propellers. 1x500 kW ASDG-500 diesel generator. 1x300 kW diesel generator. 1x200 kW diesel generator,1x2 ZIF-122 4K33 Osa-MA SAM system launcher (20 9M33M missiles) - 4R-33A 1x2 or 1x4 9K34 Strela-3 SAM system launcher (8 9M36 missiles) or 9K38 Igla SAM system (8 9M39 missiles)1x1 76 mm AK-176 (304 rounds). 1x6 30 mm AK-630M (3000 rounds) - MR-123 Vympel-A fire control system2x2 533 mm DTA-53-1124 torpedo tubes (4 torpedoes TEST-71. TEST-71M. SET-65. SET-53. SET-53M. 53-65K) - Drakon fire control system1x12 RBU-6000 Smerch-2 (48 RGB-60) 12 BB-1 or BPS depth charges 18 mines,MR-755 Fregat-MA1 air/surface search radar. Vympel-R2 reconnaissance radar. MR-212 Vaygach navigation radar. Nickel IFF . ARP-50R radio direction finder. Spektr-F laser detection warning system. MGK-335 Platina sonar. MG-339T Shelon sonar. MG-26 Khosta underwater communication system. KMG-12 Kassandra sonar. MGS-407K sonar. MI-110K and MI-110R anti-submarine search station PK-16 decoy RL (2 launchers KL-101) and PK-10 Smely (4 KT-216 launchers),,,,,,,,2024-03-29
,RK-1414,Harbor Boat,30th Surface Ship Division,,,,,,,,,,,,,,,,,,,2024-04-01
,RB-237,Harbor Tug,58th Auxiliary Ship Group Feodosia,168,192.0,24.4,7.22,2.1,9.0,,,2x300 hp diesels. 2 cycloidal propulsion units,,,4.0,,,,,,,2024-04-02
,RVK-2159,Diving Boat,Rostov-on-Don Auxiliary Ship Group,,82.0,25,4.8,1.4,12.0,,7.0,1x415 hp diesel. 2x40 kW diesel-generators. 1 fixed pitch propeller,,,8.0,,,,1 diving complex (1 pressure chamber) – 60 m,,,2024-04-04
,Sergey Balk,Seagoing Tug,205th Auxiliary Ship Squad,,3200.0,69.75,15.0,5.2,14.0,,30.0,2 azipods. 2 bow thrusters. 3x2850 kW diesel-generators,,,,,,,1 helipad,300,,2024-04-08
837.0,P-424 Kinel,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,138.69,,31.04,7.4,1.86,23.0,,5.0,2x1822 hp MTU 12V2000M93 diesels. 2 fixed pitch propellers. 2x100 kW DGA-100-V-A1-MPS diesel-generators,4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14.5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M. GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45. SG-45 grenades) 1 diving complex (1 diving chamber). Falcon Underwater Remotely Operated Vehicle,MR-231 navigation radar. MTK-201M3 electronic-optical television system. Filin (P-104) optical system. Kalmar sonar complex. MG-757 Anapa-M anti-saboteur sonar,8.0,,,,,,,2024-04-10
,Afalina,Harbor Tug,184th Experimental Base,366,504.0,29.44,10.14,4,12.0,,,2x1775 hp Caterpillar 3512B-HD diesels. 2 azipods. 2x86 kW diesel-generators,,,8.0,,,,2x300 m3/h fire monitors,,,2024-04-14
,RK-1350,Harbor Boat,205th Auxiliary Ship Squad,,43.2,19.75,3.98,1.2,10.3,,5.0,1x150 hp YaMZ-238R diesel. 1 fixed pitch propeller. 1x4 kW diesel-generator,,,2.0,,12,,,,,2024-04-17
560.0,Stary Oskol,Diesel Attack Submarine,4th Independent Submarine Brigade,,,73.8,9.9,,,,,1x5800 hp PG-141M electric motor. 1x150 hp PG-142 electric motor. 1 fixed pitch propeller. 2x1500 kW 4DL-42M diesel-generators,8x1 9K310 «Igla-1» SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes 53-65K. 53-56B. 53-56BA. SET-53M. TEST-71M. USET-80. MG-74 «Korund-2» torpedo decoy. «Kalibr-PL» missile complex (3M54K. 3M14K missiles) or 24 DM-1 mines,MRK-50 «Kaskad» radar complex. MRP-25 ESM radar system. «Khrom-M» IFF. MGK-400 «Rubikon» sonar complex. MG-519 «Arfa» mine detection sonar. MG-512 «Vint» self-cavitation measurement sonar. MG-53 noise detection sonar. MG-553 «Shkert». MVU-110EM «Uzel» combat information control system. «Andoga» navigation complex,,,,45.0,,,,2024-04-21
834.0,P-834,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,,20.0,15.9,3.8,0.9,50.0,,1.0,2x1100 hp MAN2842LE410 diesels. 2 pump-jets,,,,,,,,,,2024-04-29
383.0,Sergey Kotov,Patrol Ship,184th Novorossiysk Coastal Defense Brigade,,1965.0,91.3,4.5,4.8,22.5,,60.0,2x6000 hp 16D49 diesels. 4x300 kW diesel-generators. 1x100 kW diesel-generator. 2 fixed pitch propellers,1 Ka-27PS helicopter1 high-speed assault boat - Project 02800 9K338 Igla-S SAM system (8 9M342 missiles) 1x1 76 mm AK-176MA-01 – MR123-02/3 Bagira fire control system2x1 14.5 mm MTPU-1 Zhalo1x10 55 mm DP-65 grenade launcher (RG-55M. GRS-55 grenades) 2x2 45 mm DP-64 grenade launchers (SG-45. FG-45 grenades),TK-25E Electronic Counter Measures (ECM) system. Pallada anti-saboteur sonar PK-10 Smely Electronic Counter Measures (ECM) system (KL-121 launchers),,,,,,,,2024-05-14
,PMR-95,Non-self-propelled Floating Workshop,91th Ship Repair Plant,1254,1354.0,67.5,13.4,1.8,,,,2x150 kW DGR-150/750 diesel-generators. 1x25 kW DGA-25-9M diesel-generator,,,,,,,,,,2024-05-20
,RVK-1045,Diving Boat,Sevastopol Diving Training Center,100,118.0,28.09,5.56,1.5,13.7,,5.0,2x600 hp diesels. 2 fixed pitch propellers. 1 bow thruster. 2x80 kW diesel-generatros. 1x20 kW diesel-generator,,,8.0,,,,1 diving complex (1 hyperbaric chamber)  60 meters,,,2024-05-22
148.0,Orsk,Large Landing Ship,197th Landing Ship Brigade,3040,4650.0,113.1,15.6,4.5,16.5,,20.0,2x4500 hp 58A-4 diesels. 2 fixed pitch propellers. 3x300 kW DGR-300/500-1 diesel generators,1x2 57 mm ZIF-31B – 1200 rounds 3x2 9K34 Strela-3 SAM system launchers – 24 9M36 missiles,Don navigation radars. Khrom-KM IFF,69.0,20 main battle tanks and 440 troops or 47 BTR and 440 troops or 52 army trucks and 440 troops or 1000 tons of cargo,,,,,,2024-05-22
831.0,P-331,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,,46.0,21.2,3.93,1.65,11.0,,5.0,1x300 hp 3D12AA diesel. 1x25 kW DGR-25/1500 25 diesel generator. 1x1.2 kW diesel generator,1x7 55 mm MRG-1 Ogonyokgrenade launcher (35 RG-55 grenades. 7 GRS-55 grenades),Lotsiya navigation radar. MG-7 Braslet anti-saboteur sonar,5.0,,,,,,,2024-05-23
,Donuzlav,Hydrographic Ship,176th Expeditionary Oceanographic Ship Division,1892,2499.0,82.53,13.5,3.96,15.9,,40.0,2x2200 hp Cegielski-Sulzer 12AB25/30 diesels. 2x143 hp mSS5e electric motors. 2 controllable pitch propellers. 4x480 kW diesel-generators. 1x220 kW diesel-generator,,2 Donnavigation radars. IFF Khrom-K. Rumb radio direction finder. MG-13 underwater communication station. MG-26 Khosta underwater communication station,,,,,,,,2024-05-26
,VM-108,Diving Tender,314th Rescue Ship Squad Novorossiysk,92,119.0,28.58,5.5,1.73,12.2,,10.0,1x450 hp 6ChSP23/30 diesel. 1 fixed pitch propeller. 1x12.5 kW DG-13 diesel generator. 1x6.5 kW DG-10 diesel generator,,,,,,,1 diving complex (1 pressure chamber)  60 m,,,2024-06-08
,SKhZ-18,Floating Warehouse,Temryuk Auxiliary Ship Group,,2960.0,82.3,13.6,3.23,,,,Non self-propelled,,,,,,,,540,,2024-06-09
,Setun,Cable Layer,205th Auxiliary Ship Squad,1443,2145.0,75.9,12.6,3.1,11.0,,25.0,2x680 hp electric motors. 2x760 kW diesel-generators,,2 Mius navigation radars,38.0,,,,,,,2024-06-20
,Vice-admiral Paromov,Small Seagoing Tanker,205th Auxiliary Ship Squad,1940,3500.0,78.8,15.4,4.9,,,30.0,2x2175 hp electric motors. 2 azipods. 3x1600 kW diesel-generators. 2x400 kW diesel-generators,,,24.0,,,,Helipad,1350,,2024-06-24
,Capitan Gurev,Rescue Tug,314th Rescue Ship Squad Novorossiysk,1200,1670.0,57,14.0,3.2,14.0,,20.0,2x2720 hp KL6538-AS06 electric motors. 2 azipods. 2 bow thrusters. 3x1520 kW diesel-generators. 2x200 kW diesel-generators. 2x100 kW diesel-generators,,,,,,,1 dive complex (1 pressure chamber) - 60 m. 3x500 m3/h fire monitors,,,2024-06-30
,BKSch-32,Target Barge,280th Target Ship Station,,142.0,68,8.0,1.3,,,,Non self-propelled,,,,,,,,,,2024-07-12
,Stvor,Hydrographic Ship,176th Expeditionary Oceanographic Ship Division,1892,2499.0,82.53,13.5,3.96,15.9,,40.0,2x2200 hp Cegielski-Sulzer 12AB25/30 diesels. 2x143 hp mSS5e electric motors. 2 controllable pitch propellers. 4x480 kW diesel-generators. 1x220 kW diesel-generator,,2 Donnavigation radars. IFF Khrom-K. Rumb radio direction finder. MG-13 underwater communication station. MG-26 Khosta underwater communication station,,,,,,,,2024-07-17
,GS-402,Hydrographic Ship,55th Independent Hydrographic Vessel Division Novorossiysk,939,1190.0,61.33,10.81,3.24,13.37,,15.0,2x960 hp Cegielski-Sulzer 6AL25/30 diesels. 2x143 hp electric motors mSS5e. 2 controllable pitch propellers. 3x192 kW diesel-generators,,2 Mius navigation radars. Rumb radio direction finder,,,,,,,,2024-07-29
770.0,Valentin Pikul,Seagoing Minesweeper,184th Novorossiysk Coastal Defense Brigade,750,804.0,61,10.2,2.3,16.0,,15.0,2x2500 hp M-503B-3 diesels. 2 fixed pitch propellers in nozzles. 2x200 kW DGRA-200/1500 diesel generators. 1x100 kW DGRA-100/1500 diesel generator,20x1 9K310 Igla-1 SAM system launchers (9M313 missiles) 2x6 30 mm AK-306 - 498 rounds - Kolonka fire control system 2x5 RBU-1200M Uragan (68 RGB-12) 8 UDE mines GKT contact sweep. TEM-3 magnetic sweep. AT-2 acoustic sweep,MR-212 Vaygach radar. Rumb radio direction finder. MG-69 Lan mine search sonar. MG-79 Mezen mine search sonar. MG-35E Shtil-2 underwater communication system,,,,,,,,2024-08-09
,MKSch-46,Target Barge,280th Target Ship Station,,,,,,,,,Non self-propelled,,,,,,,,,,2024-08-09
912.0,Turbinist,Seagoing Minesweeper,68th Coastal Defense Ship Brigade ,745,800.0,61,10.2,2.97,17.0,,10.0,2x2500 hp M-503B-3 diesels. 2 fixed pitch propellers in nozzles2x200 kW DGRA-200/1500 diesel generators. 1x100 kW DGRA-100/1500 diesel generator,2x2 30 mm AK-230M - 2000 rounds - MR-104 Rys fire control system2x2 25 mm 2M-3M - 2000 rounds 2x5 RBU-1200M Uragan (68 RGB-12) 32 BB-1 or 7 KMD-1000 mines KIU-1 sweep. BKT contact sweep. TEM-4 magnetic sweep. AT-3 acoustic swwp. ShZ-1 or ShZ-2 detonating cord,MR-302 Rubka air/surface search radar. 2 Don-D navigation radars. Nikhrom-R IFF. MG-69 Lan mine search sonar. MG-79 Mezen mine search sonar. MG-26 Khosta underwater communication system,,,,,,,,2024-08-15
,PSK-537,Passenger Boat,205th Auxiliary Ship Squad,116.64,139.93,28.82,6.45,1.84,11.7,,7.0,2x150 hp Wola DM150 diesels. 2 fixed pitch propellers. 2x12.5 kW 85/11 diesel-generators,,Donets-2 navigation radar,14.0,,100 (28 students - Project 722U),,,,,2024-08-20
,PMR-98,Non-self-propelled Floating Workshop,13th Ship Repair Plant,1188,1332.0,67.5,13.4,1.78,,,,2 x100 kWDG-100/1 diesel-generators. 1x12 kW diesel-generator,,,,,,,,,,2024-08-30
,RVK-156,Diving Boat,Sevastopol Diving Training Center,31.6,38.2,21,3.98,1.31,10.4,,5.0,1x150 hp. diesel 3D6S1. 1 fixed pitch propeller,,,13.0,,,,,,,2024-08-31
,RB-371,Harbor Tug,61th Auxiliary Ship Group Novorossiysk,,86.5,17.7,5.0,1.5,10.0,,3.0,2x340 hp Deutz BF6M1015MC diesels. 2 fixed pitch propellers in nozzles,,,6.0,,,,,,,2024-09-02
,MKSch-44,Target Barge,280th Target Ship Station,,53.0,22,6.6,1.5,,,,Non self-propelled,,,,,,,,,,2024-09-10
,RK-496,Harbor Boat,184th Experimental Base,,54.0,8.65,2.25,0.5,35.0,,,360 hp diesel,,,1.0,,12,,,,,2024-09-15
,RK-1529,Harbor Boat,205th Auxiliary Ship Squad,,46.0,21.2,3.93,1.65,11.0,,5.0,1x300 hp 3D12AA diesel. 1x25 kW DGR-25/1500 25 diesel generator. 1x1.2 kW diesel generator,1x7 55 mm MRG-1 Ogonyokgrenade launcher (35 RG-55 grenades. 7 GRS-55 grenades),Lotsiya navigation radar. MG-7 Braslet anti-saboteur sonar,5.0,,,,,,,2024-09-18
,RK-25,Harbor Boat,519th Independent Intelligence Ship Division,84.7,91.4,29.6,5.99,1.5,22.0,,5.0,2x1200 hp M-50F-4 diesels. 2 fixed pitch propellers,,Donets-2 navigation radar,15.0,,,,,,,2024-09-20
,RBK-1299,Harbor Boat,30th Surface Ship Division,,,,,,,,,,,,,,,,,,,2024-09-20
,SPK-46150,Floating Crane,205th Auxiliary Ship Squad,,2000.0,52.2,22.8,2.4,6.0,,10.0,2 azipods. 3x800 kW diesel-generators,,,25.0,,,,,150,,2024-09-21
,PMR-132,Non-self-propelled Floating Workshop,13th Ship Repair Plant,1188,1332.0,67.5,13.4,1.78,,,,2 x100 kWDG-100/1 diesel-generators. 1x12 kW diesel-generator,,,,,,,,,,2024-09-22
,RVK-764,Diving Boat,314th Rescue Ship Squad Novorossiysk,100,118.0,28.09,5.56,1.5,13.7,,5.0,2x600 hp diesels. 2 fixed pitch propellers. 1 bow thruster. 2x80 kW diesel-generatros. 1x20 kW diesel-generator,,,8.0,,,,1 diving complex (1 hyperbaric chamber)  60 meters,,,2024-09-24
,RB-43,Harbor Tug,61th Auxiliary Ship Group Novorossiysk,303,417.0,25.4,9.3,3.6,12.0,,,2x1015 hp KTA 38 M1 diesels. 2x84 kW diesel generators. 2 rudder propellers,,,8.0,,,,2x300 m3/h fire monitors,,,2024-10-05
,PMR-183,Non-self-propelled Floating Workshop,91th Ship Repair Plant,,,45.8,9.44,2.75,,,,Non-self propelled,,,,,,,,,,2024-10-11
,OS-138,Trials Ship,58th Auxiliary Ship Group Feodosia,870,943.0,71.7,9.4,2.5,16.0,,10.0,2x2000 hp 40D diesels. 2 fixed pitch propellers,2x1 533 mm torpedo tubes 1x1 400 mm torpedo tube 2 torpedo-launching collars,Don-2 navigation radar,30.0,,,,,,,2024-10-11
,PMR-33,Non-self-propelled Floating Workshop,13th Ship Repair Plant,1254,1354.0,67.5,13.4,1.8,,,,2x150 kW DGR-150/750 diesel-generators. 1x25 kW DGA-25-9M diesel-generator,,,,,,,,,,2024-10-15
861.0,Ladny,Guided Missile Frigate,30th Surface Ship Division,2835,3190.0,123,14.2,4.5,32.0,,30.0,1x46000 hp M7K gas-turbine (2x6000 hp M62 gas-turbines. 2x17000 hp M8K forsage gas-turbines). 2 fixed pitch propellers. 5x500 kW DGAG-500/G-MSH diesel-generators,1x4 KT-M-1135 URK-5 Rastrub-B launcher (4 85RU anti-submarine guided missiles) - SU-85KS-I Musson-U fire control system2x2 76 mm AK-726 (2000 rounds) – MR-105 Turel fire control system2x2 ZIF-122 SAM 4K33 Osa-M launchers (40 9M33 missiles) – 4R-33 fire control system2x4 533 mm ChTA-53-1135 (4 SET-65 torpedoes. 4 53-65K torpedoes) – SU-504A Drakon-1135 fire control system 2x12 RBU-6000 Smerch-2 (96 RGB-60),MR-310A Angara-A air/surface search radar. Volga navigation radar. Don navigation radar. MP-401S Start-S ESM radar system. Nickel-KM and Khrom-KM IFF. ARP-50R radio direction finder. MG-332 Titan-2 sonar. MG-325 Vega sonar. MG-26 Hosta underwater communication system. 2 MG-7 Braslet anti-saboteur sonars. MGS-400K sonar. KMG-12 Kassandra . MI-110R. MI-110K. KPF-2-2. R-785 Tayfun communication complex PK-16 ship-borne decoy dispenser system (4 KL-101 launcher),,,,,,,,2024-10-17
,RVK-771,Diving Boat,314th Rescue Ship Squad Novorossiysk,100,118.0,28.09,5.56,1.5,13.7,,5.0,2x600 hp diesels. 2 fixed pitch propellers. 1 bow thruster. 2x80 kW diesel-generatros. 1x20 kW diesel-generator,,,8.0,,,,1 diving complex (1 hyperbaric chamber)  60 meters,,,2024-10-19
,KSV-1404,Communication Boat,115th Commandant Office,41.5,43.5,23.9,5.1,1.06 (max - 1.6),29.0,,5.0,2x1000 hp M-401B diesels. 1x40 kW DGKN-40 diesel-generator,,Pechora-1 navigation radar,,,,,,,,2024-10-21
,MB-304,Salvage Tug,145th Resue Ship Squad,1092,1452.0,56.5,12.64,4.47,13.2,,40.0,2x1500 hp PG-950/170M electric motors. 2x1000 kW DGR-1000/750 diesel-generators. 2x100 kW diesel-generators. 1 fixed pitch propeller in rotating nozzle,,2 Don navigation radars,35.0,,,,2 fire monitors. 1500 m3/h water pumps,,,2024-10-23
,RVK-860,Diving Boat,145th Resue Ship Squad,31.6,38.2,21,3.98,1.31,10.4,,5.0,1x150 hp. diesel 3D6S1. 1 fixed pitch propeller,,,13.0,,,,,,,2024-10-28
,MGK-1099,Small Hydrographic Boat,47th Hydrographic Area,7.96,8.52,11.25,3.3,0.73,13.8,,1.0,1x235 hp P3D6N-250 diesel. 1 pump-jet,,,,,,,,,,2024-10-30
490.0,Admiral Essen,Guided Missile Frigate,30th Surface Ship Division,3350,3860.0,124.8,15.2,4.66,30.0,,30.0,1x46000 hp M7N1 (2x6000 hp gas turbines. 2x17000 hp forsage gas turbines). 2 fixed pitch propellers. 4x800 kW diesel-generators,1x8 VLS Kalibr-NK guided missile complex (8 missiles) 2x12 Shtil-1 SAM system VLS (24 missiles)) 1x1 100 mm – A-190-01 2x6 30 mm AK-630M 2x1 12.7 mm 6P58 Kord heavy machine guns8x1 SAM Igla-1Elaunchers 2x2 533 mm DTA-53-11356 torpedo tubes 1x12 RBU-6000 RPK-8E launcher 2x10 55 mm DP-65 grenade launcher 1 Ka-27 or Ka-31 helicopter1 Orlan-10 unmanned aerial vehicle,MR-710 Fregat-M1356). 3Ts-25EK air/surface search radar. MR-212/201-1 Vaygach-U navigation radar. Bridge-Masternavigation radar. Nucleus-2-6000A. TK-25» complex. MGK-335EM-03 Platina sonar. MG-757.1 Anapa-M anti-saboteur sonar. Trebovanie-M combat information control system. Tsentavr satellite communication complex. PK-10 Smely decoy RL (4 KT-216 launchers),220.0,,,,,,,2024-11-01
,KSV-1754,Communication Boat,115th Commandant Office,41.5,43.5,23.9,5.1,1.06 (max - 1.6),29.0,,5.0,2x1000 hp M-401B diesels. 1x40 kW DGKN-40 diesel-generator,,Pechora-1 navigation radar,,,,,,,,2024-11-08
,Petr Gradov,Ecological Monitoring Vessel,205th Auxiliary Ship Squad,939,1190.0,61.33,10.81,3.24,13.37,,15.0,2x960 hp Cegielski-Sulzer 6AL25/30 diesels. 2x143 hp electric motors mSS5e. 2 controllable pitch propellers. 3x192 kW diesel-generators,,2 Mius navigation radars. Rumb radio direction finder,26.0,,,,,,,2024-11-13
,P-352,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,,23.0,16.9,4.1,0.85,48.0,,1.0,2x1150 hp Caterpillar C18 diesels. 2 pump-jets,1x1 14.5 mm 2x1 7.62 mm 6P41 Pecheneg,Nautilus navigation radar,,,,,,,,2024-11-14
562.0,Krasnodar,Diesel Attack Submarine,4th Independent Submarine Brigade,,,73.8,9.9,,,,,1x5800 hp PG-141M electric motor. 1x150 hp PG-142 electric motor. 1 fixed pitch propeller. 2x1500 kW 4DL-42M diesel-generators,8x1 9K310 «Igla-1» SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes 53-65K. 53-56B. 53-56BA. SET-53M. TEST-71M. USET-80. MG-74 «Korund-2» torpedo decoy. «Kalibr-PL» missile complex (3M54K. 3M14K missiles) or 24 DM-1 mines,MRK-50 «Kaskad» radar complex. MRP-25 ESM radar system. «Khrom-M» IFF. MGK-400 «Rubikon» sonar complex. MG-519 «Arfa» mine detection sonar. MG-512 «Vint» self-cavitation measurement sonar. MG-53 noise detection sonar. MG-553 «Shkert». MVU-110EM «Uzel» combat information control system. «Andoga» navigation complex,,,,45.0,,,,2024-11-21
,SB-742,Rescue Tug,314th Rescue Ship Squad Novorossiysk,1200,1670.0,57,14.0,3.2,14.0,,20.0,2x2720 hp KL6538-AS06 electric motors. 2 azipods. 2 bow thrusters. 3x1520 kW diesel-generators. 2x200 kW diesel-generators. 2x100 kW diesel-generators,,,,,,,1 dive complex (1 pressure chamber) - 60 m. 3x500 m3/h fire monitors,,,2024-11-28
,Vsevolod Bobrov,Logistics Support Vessel,205th Auxiliary Ship Squad,4941,9482.0,94.88,22.0,8.51,18.0,,60.0,2x8160 hp electric motors. 2 azipods. 4x4450 kW diesel generators. 1x1120 kW diesel generator. 1x238 kW diesel generator,,,24.0,,,,,2000,,2024-12-07
,RK-1287,Harbor Boat,30th Surface Ship Division,,,,,,,,,,,,,,,,,,,2024-12-09
59.0,Alexandrovets,ASW Corvette,68th Coastal Defense Ship Brigade ,835,990.0,71.07,10.15,3.54,32.0,,7.0,1x18000 hp M-8 gas turbine. 2x10000 hp M-507A diesels. 3 fixed pitch propellers. 1x500 kW ASDG-500 diesel generator. 1x300 kW DGN-300 diesel generator. 1x200 kW DG-200 diesel generator,1x2 ZIF-122 4K33 Osa-M SAM system launcher (20 9M33 missiles) - 4R-33 fire control system 1x2 57 mm AK-725 (1100 rounds) - MR-103 Bars fire control system1x6 30 mm AK-630 (2000 rounds)2x2 533 mm DTA-53-1124 torpedo tubes (4 TEST-71. TEST-71M. SET-65. SET-53. SET-53M. 53-65K torpedoes) - Drakon fire control system 2x12 RBU-6000 Smerch-2 (96 RGB-60) - Burya fire control system 12 BB-1 or BPS depth charges 18 mines,MR-302 Rubka air/surface search radar. Bizan-4B reconnaissance radar . Donnavigation radar . Nickel IFF. ARP-50R radio direction finder. MG-322T Amgun sonar. MG-339T Shelonsonar. MG-26 Khosta underwater communication system. KMG-12 Kassandrasonar. MGS-407K sonar. MI-110K and MI-110R anti-submarine search station,,,,,,,,2024-12-09
633.0,Tsiklon,Missile Corvette - Trials,41th Missile Boat Brigade,800,870.0,67,11.0,3.3,30.0,,12.0,3x8000 hp M-507D-1-01-OMZ diesels. 3 fixed pitch propellers. 1 bow thruster. 3 DGAS-315 diesel-generators x315 kW,1x8 UKSK 3K14 VLS (Kalibr-NK missile complex (8 3M14T missiles)) – 3R14N fire control system1x1 76 mm AK-176MA – MR-123-02/3 Bagira fire control system 1 module 3M87-1F Pantcir-M air defense system 1x(8 SAM missiles. 2x6 30 mm (32 57E6 missiles. 1000 rounds)) 2x1 12.7 mm 6P58 Kord1 Orlan-10 unmanned aerial vehicle,KRS-27M Mineral air-surface search radar. MP-405-1 ESM radar system. MTK-201M-S1 multifunctional opto-electronic television complexPK-10 Smely (4 KT-216 launcher),39.0,,,,,,,2024-12-13
,RK-735,Harbor Boat,91th Ship Repair Plant,,,,,,,,,,,,,,,,,,,2024-12-30
,RK-1426,Harbor Boat,Sevastopol Diving Training Center,,,,,,,,,,,,,,,,,,,2024-12-30
